time,power_w
2025-01-03 01:45:00+0100,11534.640625
2025-01-03 02:00:00+0100,19854.974609375
2025-01-03 02:15:00+0100,15690.943359375
2025-01-03 02:30:00+0100,13430.447265625
2025-01-03 02:45:00+0100,19333.787109375
2025-01-03 03:00:00+0100,10657.7373046875
2025-01-03 03:15:00+0100,20100.53515625
2025-01-03 03:30:00+0100,26628.6875
2025-01-03 03:45:00+0100,19099.57421875
2025-01-03 04:00:00+0100,25357.669921875
2025-01-03 04:15:00+0100,29065.609375
2025-01-03 04:30:00+0100,29433.328125
2025-01-03 04:45:00+0100,22550.76171875
2025-01-03 05:00:00+0100,22248.615234375
2025-01-03 05:15:00+0100,29682.251953125
2025-01-03 05:30:00+0100,31580.255859375
2025-01-03 05:45:00+0100,29441.982421875
2025-01-03 06:00:00+0100,28979.92578125
2025-01-03 06:15:00+0100,27490.279296875
2025-01-03 06:30:00+0100,28151.052734375
2025-01-03 06:45:00+0100,29720.083984375
2025-01-03 07:00:00+0100,30317.29296875
2025-01-03 07:15:00+0100,32688.361328124996
2025-01-03 07:30:00+0100,35537.83203125
2025-01-03 07:45:00+0100,37087.8125
2025-01-03 08:00:00+0100,38136.24609375
2025-01-03 08:15:00+0100,38038.296875
2025-01-03 08:30:00+0100,38203.31640625
2025-01-03 08:45:00+0100,37030.91015625
2025-01-03 09:00:00+0100,36728.3203125
2025-01-03 09:15:00+0100,34805.69140625
2025-01-03 09:30:00+0100,33400.640625
2025-01-03 09:45:00+0100,34065.54296875
2025-01-03 10:00:00+0100,35558.29296875
2025-01-03 10:15:00+0100,36947.2734375
2025-01-03 10:30:00+0100,34173.453125
2025-01-03 10:45:00+0100,36149.2890625
2025-01-03 11:00:00+0100,37881.1640625
2025-01-03 11:15:00+0100,35920.375
2025-01-03 11:30:00+0100,37998.06640625
2025-01-03 11:45:00+0100,38259.9765625
2025-01-03 12:00:00+0100,33690.45703125
2025-01-03 12:15:00+0100,32096.32421875
2025-01-03 12:30:00+0100,31290.5
2025-01-03 12:45:00+0100,31936.1640625
2025-01-03 13:00:00+0100,33740.0625
2025-01-03 13:15:00+0100,36561.83203125
2025-01-03 13:30:00+0100,35101.08203125
2025-01-03 13:45:00+0100,36735.69921875
2025-01-03 14:00:00+0100,31569.982421875
2025-01-03 14:15:00+0100,28965.017578125
2025-01-03 14:30:00+0100,32226.400390625004
2025-01-03 14:45:00+0100,34114.84375
2025-01-03 15:00:00+0100,32241.875
2025-01-03 15:15:00+0100,33412.453125
2025-01-03 15:30:00+0100,38153.16796875
2025-01-03 15:45:00+0100,24355.50390625
2025-01-03 16:00:00+0100,29543.455078125
2025-01-03 16:15:00+0100,30875.36328125
2025-01-03 16:30:00+0100,39660.86328125
2025-01-03 16:45:00+0100,41561.23828125
2025-01-03 17:00:00+0100,36110.625
2025-01-03 17:15:00+0100,28950.794921875
2025-01-03 17:30:00+0100,32055.996093749996
2025-01-03 17:45:00+0100,31631.599609375
2025-01-03 18:00:00+0100,35648.31640625
2025-01-03 18:15:00+0100,29694.068359375
2025-01-03 18:30:00+0100,26775.796875
2025-01-03 18:45:00+0100,24491.57421875
2025-01-03 19:00:00+0100,25997.24609375
2025-01-03 19:15:00+0100,26577.115234375
2025-01-03 19:30:00+0100,27056.619140625
2025-01-03 19:45:00+0100,27614.564453125
2025-01-03 20:00:00+0100,29057.1328125
2025-01-03 20:15:00+0100,22354.435546875
2025-01-03 20:30:00+0100,24523.98046875
2025-01-03 20:45:00+0100,12027.3701171875
2025-01-03 21:00:00+0100,17176.54296875
2025-01-03 21:15:00+0100,16176.106445312498
2025-01-03 21:30:00+0100,13657.5361328125
2025-01-03 21:45:00+0100,19876.71875
2025-01-03 22:00:00+0100,10646.044921875
2025-01-03 22:15:00+0100,17863.609375
2025-01-03 22:30:00+0100,15502.4990234375
2025-01-03 22:45:00+0100,14548.2001953125
2025-01-03 23:00:00+0100,19109.390625
2025-01-03 23:15:00+0100,11512.2353515625
2025-01-03 23:30:00+0100,19314.298828125
2025-01-03 23:45:00+0100,16988.818359375
2025-01-04 00:00:00+0100,14410.443359375
2025-01-04 00:15:00+0100,16873.912109375
2025-01-04 00:30:00+0100,14399.7392578125
2025-01-04 00:45:00+0100,21007.2109375
2025-01-04 01:00:00+0100,15866.6748046875
2025-01-04 01:15:00+0100,16469.890625
2025-01-04 01:30:00+0100,18062.15234375
2025-01-04 01:45:00+0100,12092.291015625
2025-01-04 02:00:00+0100,19092.931640625
2025-01-04 02:15:00+0100,14611.548828125
2025-01-04 02:30:00+0100,18720.708984375
2025-01-04 02:45:00+0100,13473.013671875
2025-01-04 03:00:00+0100,17639.49609375
2025-01-04 03:15:00+0100,16955.0390625
2025-01-04 03:30:00+0100,15771.259765625
2025-01-04 03:45:00+0100,32424.119140625004
2025-01-04 04:00:00+0100,30691.953125
2025-01-04 04:15:00+0100,18495.162109375
2025-01-04 04:30:00+0100,24272.15625
2025-01-04 04:45:00+0100,30100.69921875
2025-01-04 05:00:00+0100,31124.46484375
2025-01-04 05:15:00+0100,25705.833984375
